states,RUNS,Host to Device,Kernel Time,Host to Device,Throughput
50,8,0.002150,0.008727,0.002247,480.585541
50,4,0.007025,0.034771,0.005890,482.511414
50,2,0.030130,0.124094,0.026667,540.789551
50,1,0.107391,0.487494,0.098669,550.643311
100,8,0.002157,0.017262,0.002261,242.978333
100,4,0.007086,0.061470,0.005880,272.931549
100,2,0.030006,0.242038,0.023045,277.265686
100,1,0.106805,0.966795,0.098049,277.654907
200,8,0.002107,0.033193,0.001431,126.362617
200,4,0.007056,0.121208,0.005883,138.417023
200,2,0.027706,0.483135,0.022936,138.903030
200,1,0.107892,1.932021,0.098687,138.940262
400,8,0.002150,0.064461,0.002257,65.067741
400,4,0.007057,0.242556,0.012472,69.168297
400,2,0.049500,0.967382,0.031582,69.371658
400,1,0.194712,3.863549,0.132675,69.478973
800,8,0.002170,0.124763,0.002263,33.618263
800,4,0.007123,0.484154,0.006573,34.652607
800,2,0.028539,1.932830,0.023135,34.720516
800,1,0.108186,7.725617,0.098991,34.746147
